;species;xcoord;ycoord
17832;TIMLEP;714618.9474;6253603.572
17833;TIMLEP;741494.6327;6270468.698
17834;TIMLEP;714741.0889;6240778.981
17835;TIMLEP;741310.3977;6270709.473
17836;TIMLEP;709265.907;6286608.714
17837;TIMLEP;683791.5603;6180444.512
17838;TIMLEP;741585.4792;6270351.806
17839;TIMLEP;741350.8787;6270739.3
17840;TIMLEP;708435.5277;6285814.836
17841;TIMLEP;708543.5205;6285711.514
17842;TIMLEP;709430.1491;6285068.958
17843;TIMLEP;708422.8604;6285877.611
17844;TIMLEP;708759.3938;6282542.093
17845;TIMLEP;720997.8661;6281879.387
17846;TIMLEP;708744.754;6282564.856
17847;TIMLEP;720937.5615;6282004.442
17848;TIMLEP;720903.8626;6282385.645
17849;TIMLEP;708801.8014;6282516.923
17850;TIMLEP;720796.6173;6282601.457
17851;TIMLEP;720207.4712;6282512.986
17852;TIMLEP;708781.6906;6282527.009
17853;TIMLEP;744684.2962;6289668.271
17854;TIMLEP;741532.7794;6270434.824
17855;TIMLEP;709315.4172;6286563.333
17856;TIMLEP;764415.6071;6293253.147
17857;TIMLEP;709527.6646;6286271.918
17858;TIMLEP;709238.6599;6286764.819
17859;TIMLEP;722066.0926;6281417.215
17860;TIMLEP;722305.228;6281363.367
17861;TIMLEP;723108.5153;6281590.951
17862;TIMLEP;721681.6576;6281447.126
17863;TIMLEP;709419.3967;6286447.795
17864;TIMLEP;727867.7375;6289897.197
17865;TIMLEP;702165.5006;6280491.655
17866;TIMLEP;673829.7631;6245067.016
17867;TIMLEP;698835.184;6209660.346
17868;TIMLEP;710384.8796;6224020.904
17869;TIMLEP;793195.5323;6290039.904
17870;TIMLEP;820326.302;6308555.184
17871;TIMLEP;819971.4053;6308543.953
17872;TIMLEP;819971.4053;6308543.953
17873;TIMLEP;652450.5059;6231465.36
17874;TIMLEP;653128.9312;6231522.14
17875;TIMLEP;652857.9707;6231555.006
17876;TIMLEP;652450.5059;6231465.36
17877;TIMLEP;653106.7829;6231584.067
17878;TIMLEP;691303.9034;6169636.352
17879;TIMLEP;727135.7256;6284983.34
17880;TIMLEP;727208.3683;6284938.518
17881;TIMLEP;761467.1015;6307726.369
17882;TIMLEP;759035.7559;6313340.449
17883;TIMLEP;758707.8683;6267249.325
17884;TIMLEP;758548.8952;6267203.405
17885;TIMLEP;793187.4099;6289867.427
17886;TIMLEP;758477.7234;6266758.142
17887;TIMLEP;758698.2778;6267060.277
17888;TIMLEP;758678.452;6267104.556
17889;TIMLEP;758745.297;6267138.516
17890;TIMLEP;751239.8728;6262305.432
17891;TIMLEP;758735.4693;6267327.385
17892;TIMLEP;759081.6664;6267775.188
17893;TIMLEP;758385.2724;6267046.294
17894;TIMLEP;696175.0541;6222659.353
17895;TIMLEP;695982.8301;6222726.179
17896;TIMLEP;791318.0946;6290107.083
17897;TIMLEP;758736.0824;6267260.7
17898;TIMLEP;758740.3235;6267327.43
17899;TIMLEP;758721.5032;6267438.41
17900;TIMLEP;759398.0061;6268122.693
17901;TIMLEP;762354.9364;6271018.586
17902;TIMLEP;762131.4029;6270805.221
17903;TIMLEP;767179.9475;6272801.485
17904;TIMLEP;723929.5494;6240212.925
17905;TIMLEP;723885.6351;6240223.878
17906;TIMLEP;723778.8731;6240312.417
17907;TIMLEP;723726.3204;6240023.183
17908;TIMLEP;744244.7512;6259385.392
17909;TIMLEP;745959.7475;6260953.668
17910;TIMLEP;765814.7708;6272620.538
17911;TIMLEP;792447.9868;6289867.76
17912;TIMLEP;766903.1332;6272987.533
17913;TIMLEP;766795.5232;6272841.911
17914;TIMLEP;688430.9116;6192312.254
17915;TIMLEP;787275.4363;6288449.906
